序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3400,300624,万兴科技,68.7,0.78,0.53,53258.0,364162607.64,3.34,69.2,66.92,66.92,68.17,0.74,3.11,-161.74,12.3,13282205459.0,11763721939.0,-0.1,-0.03,5.13,-2.76
3401,002382,蓝帆医疗,7.73,0.78,0.06,248102.0,191159882.4,4.3,7.85,7.52,7.53,7.67,0.47,2.48,-20.42,1.01,7785177173.0,7727728779.0,-0.13,0.0,42.36,38.04
3402,002187,广百股份,6.45,0.78,0.05,85144.0,54876083.0,2.81,6.49,6.31,6.31,6.4,0.74,1.21,-47.01,1.14,4520770383.0,4520770383.0,0.16,0.31,-22.66,-14.8
3403,603075,热威股份,20.56,0.78,0.16,11149.0,22819299.0,2.3,20.63,20.16,20.3,20.4,0.44,2.7,25.2,3.95,8275052762.0,847998557.0,-0.05,0.19,-5.03,-5.86
3404,001378,德冠新材,23.22,0.78,0.18,38139.0,88458341.0,3.04,23.51,22.81,22.91,23.04,1.14,5.91,39.03,1.64,3096006192.0,1497823887.0,0.09,0.04,2.25,-1.53
3405,600873,梅花生物,11.57,0.78,0.09,332635.0,384286606.0,2.96,11.66,11.32,11.34,11.48,0.61,1.19,8.04,2.01,32445075891.0,32445075891.0,0.0,0.0,15.35,14.22
3406,600475,华光环能,18.1,0.78,0.14,110644.0,200348233.0,3.95,18.31,17.6,17.87,17.96,0.46,1.17,37.69,1.99,17302979695.0,17066231695.0,-0.17,-0.11,4.26,-0.39
3407,300880,迦南智能,23.22,0.78,0.18,93691.0,213829467.33,7.07,23.48,21.85,22.61,23.04,0.47,4.8,49.79,4.32,4531087642.0,4530604387.0,0.04,0.26,31.33,32.08
3408,603061,金海通,258.79,0.78,2.0,19992.0,511850173.0,6.09,262.65,247.01,252.5,256.79,1.09,3.33,87.96,9.62,15527400000.0,15527400000.0,0.15,0.19,82.81,84.32
3409,000402,金 融 街,2.58,0.78,0.02,127516.0,32660379.0,1.95,2.58,2.53,2.54,2.56,0.63,0.43,-4.29,0.33,7711439160.0,7710761304.0,0.0,0.0,-5.84,-6.18
3410,688159,有方科技,39.91,0.78,0.31,14379.0,57155534.0,4.12,40.38,38.75,38.82,39.6,0.43,1.55,144.92,4.13,3707991006.0,3700807206.0,-0.13,-0.13,-18.72,-17.44
3411,688365,光云科技,18.17,0.78,0.14,97167.0,176436729.0,4.33,18.36,17.58,17.77,18.03,0.74,2.28,-293.3,8.18,7737234508.0,7737234508.0,0.0,0.11,18.22,7.71
3412,000096,广聚能源,10.28,0.78,0.08,94875.0,96696602.92,2.06,10.29,10.08,10.18,10.2,0.7,1.86,47.46,1.89,5427840000.0,5251517440.0,0.1,0.1,1.08,0.1
3413,002920,德赛西威,106.04,0.78,0.82,52456.0,551496812.61,3.08,106.44,103.2,104.0,105.22,0.91,0.95,25.79,4.1,63285657536.0,58823406004.0,-0.01,0.01,-14.96,-11.85
3414,000070,特发信息,15.68,0.77,0.12,807376.0,1250442102.0,6.68,15.94,14.9,15.09,15.56,1.15,9.09,1324.15,9.36,14117405837.0,13934484399.0,-0.06,-0.06,27.79,33.56
3415,301221,光庭信息,48.36,0.77,0.37,11483.0,55293427.95,2.6,48.59,47.34,47.66,47.99,0.63,1.83,75.03,2.24,4479214428.0,3033292936.0,0.12,-0.08,-6.41,-14.01
3416,002449,国星光电,7.89,0.77,0.06,127584.0,99626183.0,3.45,7.9,7.63,7.7,7.83,0.48,2.06,117.61,1.27,4879784863.0,4879784863.0,0.0,0.13,-4.71,-6.74
3417,603612,索通发展,26.3,0.77,0.2,108797.0,284021670.0,5.52,26.73,25.29,25.33,26.1,0.59,2.18,15.03,2.33,13100147272.0,13100147272.0,0.08,0.08,11.96,11.91
3418,300999,金龙鱼,28.69,0.77,0.22,123632.0,354414038.35,2.32,28.87,28.21,28.27,28.47,0.82,2.28,49.33,1.61,155545461168.0,15568545213.0,0.03,0.14,-0.93,-0.17
3419,688433,华曙高科,77.5,0.77,0.59,27145.0,209094393.0,4.03,78.31,75.21,75.93,76.91,0.68,1.34,465.15,15.52,32098082000.0,15663084800.0,0.04,0.09,34.36,17.12
3420,002570,贝因美,5.21,0.77,0.04,219899.0,113378666.56,3.68,5.22,5.03,5.08,5.17,0.52,2.04,39.7,3.27,5627025765.0,5626775685.0,-0.19,-0.19,-16.64,-14.87
3421,600511,国药股份,28.93,0.77,0.22,41804.0,120596056.0,1.92,29.06,28.51,28.55,28.71,0.66,0.76,10.93,1.18,21827771732.0,16008312046.0,0.0,0.03,0.17,0.63
3422,603758,秦安股份,13.08,0.77,0.1,22705.0,29703084.0,2.77,13.17,12.81,12.95,12.98,0.62,0.52,38.41,2.23,5739465401.0,5739465401.0,-0.23,-0.08,-27.17,-24.78
3423,002933,新兴装备,32.77,0.77,0.25,12268.0,39900891.0,2.37,32.78,32.01,32.2,32.52,0.45,1.08,99.06,2.51,3845559500.0,3738698070.0,0.0,0.15,-4.99,-9.48
3424,300409,道氏技术,24.89,0.77,0.19,242747.0,603326890.13,5.1,25.26,24.0,24.13,24.7,0.77,3.53,35.15,2.42,19470176440.0,17111617189.0,-0.04,0.0,11.12,10.67
3425,301316,慧博云通,40.55,0.77,0.31,45842.0,184658555.0,4.1,40.9,39.25,39.68,40.24,0.56,1.15,165.83,14.88,16382200000.0,16220405500.0,0.0,1.12,-9.91,-9.24
3426,002983,芯瑞达,22.59,0.76,0.17,19047.0,42730411.12,2.72,22.63,22.02,22.17,22.42,0.6,1.49,40.2,3.68,5052538631.0,2895078332.0,-0.04,0.13,0.44,-0.92
3427,000428,华天酒店,3.97,0.76,0.03,148394.0,58469231.0,2.79,3.98,3.87,3.88,3.94,0.71,1.46,-19.42,2.9,4045136220.0,4045136220.0,0.25,0.25,17.8,20.3
3428,920108,宏海科技,10.54,0.76,0.08,4239.0,4445494.76,2.77,10.55,10.26,10.4,10.46,0.51,0.58,108.49,3.7,1814988000.0,769079031.0,0.09,0.48,-24.71,-21.64
3429,301571,国科天成,64.66,0.76,0.49,47929.0,308793675.0,4.91,65.46,62.31,63.03,64.17,1.02,4.02,56.97,5.69,11601679211.0,7705337573.0,0.09,0.03,27.53,12.1
3430,603198,迎驾贡酒,31.97,0.76,0.24,18730.0,59728229.0,2.62,32.18,31.35,31.42,31.73,0.63,0.23,12.69,2.52,25576000000.0,25576000000.0,0.03,0.06,-20.04,-19.19
3431,301041,金百泽,26.37,0.76,0.2,36509.0,95474259.5,3.97,26.61,25.57,25.81,26.17,0.63,4.63,300.12,4.22,2813151600.0,2081137250.0,0.42,0.42,-2.44,-3.05
3432,002065,东华软件,7.98,0.76,0.06,207401.0,164843838.94,3.03,8.02,7.78,7.81,7.92,0.51,0.71,54.74,2.1,25579749353.0,23205214759.0,0.13,0.0,-12.31,-12.79
3433,300470,中密控股,36.0,0.76,0.27,25891.0,92610076.0,2.21,36.07,35.28,35.48,35.73,0.43,1.31,20.18,2.69,7486622532.0,7103148660.0,-0.08,-0.11,-2.6,-4.26
3434,603706,东方环宇,19.95,0.76,0.15,10457.0,20745865.0,1.67,19.98,19.65,19.65,19.8,0.61,0.55,20.5,2.28,3778185144.0,3778185144.0,0.1,0.2,2.73,2.84
3435,601918,新集能源,7.99,0.76,0.06,560785.0,446397731.0,2.52,8.03,7.83,7.88,7.93,0.8,2.16,9.69,1.22,20698428982.0,20698428982.0,0.0,0.13,19.43,21.8
3436,600415,小商品城,13.18,0.76,0.1,327695.0,429422574.0,2.29,13.2,12.9,12.96,13.08,0.71,0.6,15.68,3.26,72273310599.0,72273310599.0,0.0,0.15,-20.27,-17.37
3437,920720,吉冈精密,11.9,0.76,0.09,11712.0,13806413.55,3.56,11.99,11.57,11.71,11.81,0.8,1.58,51.33,6.1,3152206946.0,880804359.0,0.17,0.51,-13.77,-15.3
3438,300981,中红医疗,13.3,0.76,0.1,96012.0,127192672.54,3.71,13.43,12.94,13.08,13.2,0.53,2.44,-593.32,1.06,5703903955.0,5227363891.0,-0.23,-0.3,3.66,5.89
3439,000949,新乡化纤,6.69,0.75,0.05,329793.0,221076053.41,4.82,6.83,6.51,6.55,6.64,0.51,1.99,62.4,1.72,11084660478.0,11081616535.0,0.0,0.15,31.43,21.64
3440,300917,特发服务,32.45,0.75,0.24,24865.0,80127331.6,2.33,32.46,31.71,31.79,32.21,0.63,1.47,45.26,4.72,5484050000.0,5484050000.0,0.19,0.19,-19.4,-17.01
3441,002014,永新股份,12.02,0.75,0.09,28549.0,34224328.22,2.18,12.07,11.81,11.83,11.93,0.73,0.47,17.86,3.14,7362152229.0,7266295362.0,-0.08,-0.17,0.59,0.84
