序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920069,N普昂,43.48,136.56,25.1,96834.0,410012517.63,65.94,50.0,37.88,39.0,18.38,,65.53,25.63,3.06,2300700720.0,642535918.0,0.16,0.18,136.56,136.56
2,300204,舒泰神,27.76,20.02,4.63,557081.0,1441607885.42,21.14,27.76,22.87,22.98,23.13,4.8,12.28,-324.12,15.23,13262966127.0,12593726548.0,0.0,0.0,2.44,1.61
3,300461,田中精机,55.63,20.0,9.27,159617.0,827588909.5,17.71,55.63,47.42,47.61,46.36,1.55,11.11,1387.96,16.43,8737063776.0,7994212187.0,0.0,0.0,188.24,191.56
4,688068,热景生物,132.13,20.0,22.02,53521.0,669216587.0,22.3,132.13,107.57,109.08,110.11,2.98,5.77,-58.19,4.92,12249500112.0,12249500112.0,0.0,0.0,-20.45,-18.44
5,301292,海科新源,96.29,20.0,16.05,307922.0,2710582452.95,22.68,96.29,78.09,80.01,80.24,1.26,36.2,-125.68,7.92,21453005464.0,8191260020.0,0.0,0.0,60.86,49.5
6,300858,科拓生物,18.19,19.99,3.03,152937.0,264331271.81,20.98,18.19,15.01,15.01,15.16,4.91,7.81,47.16,2.62,4792976196.0,3560513365.0,0.0,0.0,9.31,8.47
7,300054,鼎龙股份,53.07,17.33,7.84,1172604.0,6073085441.2,14.06,54.28,47.92,47.92,45.23,4.06,15.89,69.86,9.69,50313935697.0,39155815462.0,0.06,0.13,35.38,41.14
8,300765,新诺威,32.28,14.63,4.12,230637.0,714154048.44,19.5,33.32,27.83,27.83,28.16,2.16,1.64,-188.04,17.0,45340260232.0,45340260232.0,0.25,0.22,-17.86,-10.51
9,688710,益诺思,65.99,14.57,8.39,33600.0,214697815.0,17.24,68.0,58.07,58.69,57.6,3.55,3.7,-304.87,4.0,9303244794.0,5984894684.0,0.14,0.05,43.05,49.47
10,300390,天华新能,64.01,12.99,7.36,698992.0,4292421746.51,17.39,65.85,56.0,57.12,56.65,1.42,10.4,132.22,4.68,53176357940.0,43031847860.0,0.19,0.16,16.38,17.21
11,301201,诚达药业,46.34,12.86,5.28,109784.0,491361170.14,16.27,46.68,40.0,40.55,41.06,4.44,10.11,320.57,3.37,7169438604.0,5029943047.0,-0.22,0.52,11.13,13.86
12,688796,百奥赛图,92.88,12.68,10.45,29053.0,257552111.0,14.53,93.17,81.19,82.19,82.43,1.65,8.1,239.65,19.08,41507925250.0,3333244096.0,0.0,-0.11,82.62,76.58
13,688506,百利天恒,286.78,12.46,31.78,34450.0,952622810.0,14.09,288.93,253.0,253.99,255.0,2.34,0.83,-112.7,17.88,118403953239.0,118403953239.0,0.0,0.84,-17.92,-11.24
14,300877,金春股份,27.55,12.13,2.98,65632.0,176501823.88,18.6,28.88,24.31,24.56,24.57,1.96,5.47,33.57,1.98,3306000000.0,3305971073.0,0.0,-0.18,4.59,-5.88
15,688455,科捷智能,24.15,12.12,2.61,53417.0,124941449.0,16.76,24.68,21.07,21.28,21.54,2.17,3.18,127.72,4.26,4057940584.0,4057940584.0,0.04,0.04,22.78,20.21
16,300868,杰美特,54.88,11.77,5.78,125304.0,658417080.96,17.01,55.43,47.08,48.22,49.1,1.0,15.51,-209.64,4.66,7022005760.0,4432300935.0,0.13,0.05,84.66,73.12
17,688382,益方生物-U,19.99,11.61,2.08,278391.0,537636340.0,15.3,20.5,17.76,17.84,17.91,1.65,4.81,-36.49,7.52,11561186335.0,11561186335.0,0.35,0.4,-32.24,-26.62
18,300518,新迅达,20.72,11.4,2.12,154691.0,314817148.53,15.54,21.17,18.28,18.28,18.6,1.99,7.76,-111.8,5.5,4131807855.0,4131438003.0,-0.19,-0.1,22.46,18.4
19,300082,奥克股份,10.83,11.31,1.1,652992.0,693695510.66,19.94,11.51,9.57,9.6,9.73,3.22,9.63,-841.92,2.69,7365463506.0,7346221444.0,0.0,-0.18,7.55,9.39
20,300584,海辰药业,45.18,11.17,4.54,130883.0,580127219.2,16.78,46.98,40.16,40.24,40.64,3.58,15.94,124.43,5.2,5421600000.0,3709763504.0,0.07,0.04,-12.02,-10.04
21,300683,海特生物,38.81,10.95,3.83,168807.0,634290832.77,15.89,39.5,33.94,34.62,34.98,1.77,13.83,-24.1,2.27,5080011315.0,4737328717.0,-0.1,0.03,39.05,39.96
22,688197,首药控股-U,38.82,10.72,3.76,30104.0,114140465.0,14.43,39.49,34.43,34.96,35.06,1.75,4.7,-44.81,8.49,5773284895.0,2484669519.0,0.0,-0.1,5.81,11.74
23,688195,腾景科技,294.0,10.61,28.21,105746.0,2959255029.0,16.54,296.33,252.37,255.0,265.79,0.93,8.18,538.7,38.48,38028900000.0,38028900000.0,0.38,0.51,63.33,73.4
24,688759,必贝特-U,39.29,10.61,3.77,47251.0,178900444.0,12.5,39.45,35.01,35.46,35.52,1.86,10.17,-115.51,10.59,17681940254.0,1825491233.0,0.08,0.03,34.1,35.2
25,300057,万顺新材,6.61,10.35,0.62,1095620.0,706594904.91,13.02,6.66,5.88,5.9,5.99,2.92,15.11,-51.11,1.14,5934074481.0,4793218391.0,0.15,0.0,15.76,16.17
26,000822,山东海化,6.45,10.07,0.59,753883.0,480843681.72,8.02,6.45,5.98,6.04,5.86,1.72,8.42,-4.16,1.51,5773342923.0,5773342923.0,0.0,0.0,21.93,22.86
27,600470,六国化工,7.43,10.07,0.68,828474.0,592321975.0,11.26,7.43,6.67,6.68,6.75,1.38,15.88,-14.02,2.38,3875488000.0,3875488000.0,0.0,0.0,22.61,24.25
28,002068,黑猫股份,9.2,10.05,0.84,529163.0,469715892.47,11.84,9.2,8.21,8.27,8.36,1.86,7.2,-23.99,2.52,6765175803.0,6762053553.0,0.0,0.0,1.77,4.31
29,600227,赤天化,4.27,10.05,0.39,3202950.0,1342562289.0,12.89,4.27,3.77,3.77,3.88,1.04,25.07,-35.47,3.01,7210867215.0,5455351159.0,0.0,0.0,70.8,79.41
30,603399,永杉锂业,11.72,10.05,1.07,477238.0,543215948.0,12.3,11.72,10.41,10.46,10.65,2.26,9.32,-27.58,3.62,6004046406.0,6004046406.0,0.0,0.0,7.23,12.8
31,688799,华纳药厂,53.99,10.05,4.93,122344.0,652034418.0,16.12,56.0,48.09,48.09,49.06,3.09,9.32,29.36,3.47,7089966800.0,7089966800.0,0.07,0.09,9.98,13.19
32,002176,江特电机,10.29,10.05,0.94,947326.0,937669802.17,11.44,10.29,9.22,9.24,9.35,1.69,5.55,-116.63,5.17,17558090228.0,17554936704.0,0.0,0.0,5.76,5.65
33,600748,上实发展,5.37,10.04,0.49,367113.0,187988955.0,11.27,5.37,4.82,4.86,4.88,2.45,1.99,-16.03,0.95,9905302730.0,9905302730.0,0.0,0.0,0.75,-0.92
34,600110,诺德股份,8.66,10.04,0.79,1761690.0,1450085014.0,12.83,8.66,7.65,7.7,7.87,1.47,10.15,-120.22,2.55,15026666871.0,15026666871.0,0.0,0.0,23.19,22.14
35,000890,法尔胜,13.48,10.04,1.23,661552.0,869247971.21,8.41,13.48,12.45,13.09,12.25,0.8,15.77,-186.3,-1020.17,5654913489.0,5654739300.0,0.0,0.0,149.63,165.88
36,001313,粤海饲料,7.56,10.04,0.69,182599.0,134661267.08,9.9,7.56,6.88,6.88,6.87,2.03,2.61,151.5,2.08,5292000000.0,5285391434.0,0.0,0.0,-2.2,3.28
37,002310,东方新能,3.84,10.03,0.35,5490357.0,2027987049.41,16.91,3.84,3.25,3.38,3.49,0.66,13.08,-8363.26,14.99,23037396929.0,16124350913.0,0.0,0.0,65.52,70.67
38,600769,祥龙电业,13.6,10.03,1.24,124298.0,164307199.0,10.92,13.6,12.25,12.27,12.36,1.06,3.31,222.24,42.44,5099689920.0,5099689920.0,0.0,0.0,14.0,12.96
39,603585,苏利股份,20.74,10.03,1.89,32481.0,66753739.0,6.21,20.74,19.57,19.6,18.85,0.92,1.78,20.88,1.53,3876134418.0,3789959718.0,0.0,0.0,9.04,9.97
40,600982,宁波能源,7.35,10.03,0.67,2269107.0,1560660761.0,16.02,7.35,6.28,6.43,6.68,1.28,20.3,25.49,1.87,8214562015.0,8214562015.0,0.0,0.0,66.29,69.35
41,002272,川润股份,17.66,10.03,1.61,482972.0,796913763.4,12.21,17.66,15.7,15.85,16.05,0.92,12.5,-296.55,5.74,8562933118.0,6825463696.0,0.0,3.88,10.93,8.01
42,603076,乐惠国际,28.12,10.02,2.56,63726.0,175955134.0,11.82,28.12,25.1,25.3,25.56,1.91,5.28,75.76,2.62,3394121793.0,3394121793.0,0.0,0.0,17.12,19.97
43,002265,建设工业,25.03,10.02,2.28,224278.0,550324822.47,11.12,25.03,22.5,22.55,22.75,1.04,2.17,647.92,7.08,25857001387.0,25857001387.0,0.0,0.0,-0.75,-6.67
44,000553,安道麦A,6.48,10.02,0.59,259508.0,162532503.71,11.38,6.48,5.81,5.81,5.89,1.68,1.19,-26.78,0.82,15097180244.0,14107426307.0,0.0,0.0,9.83,18.25
45,603978,深圳新星,25.69,10.02,2.34,159308.0,394732909.0,12.12,25.69,22.86,22.86,23.35,1.62,7.55,-65.78,3.59,5423012541.0,5423012541.0,0.0,0.0,-9.13,-9.03
46,600513,联环药业,25.61,10.01,2.33,265379.0,669030913.0,11.86,25.61,22.85,22.85,23.28,2.2,9.3,-156.38,5.48,7310535075.0,7310535075.0,0.0,0.0,44.2,39.87
47,002294,信立泰,61.88,10.01,5.63,123918.0,742606532.3,10.81,61.88,55.8,56.2,56.25,1.67,1.11,89.1,7.86,68984847186.0,68969327744.0,0.0,0.0,8.94,24.88
48,600338,西藏珠峰,17.48,10.01,1.59,1040453.0,1760998132.0,11.77,17.48,15.61,15.68,15.89,2.22,11.38,27.46,3.67,15980393737.0,15980393737.0,0.0,0.0,22.58,16.22
49,603618,杭电股份,24.28,10.01,2.21,844115.0,1923856538.0,16.31,24.28,20.68,21.4,22.07,0.86,12.21,-57.39,6.19,16786599956.0,16786599956.0,0.0,0.0,175.28,201.24
50,603324,盛剑科技,25.5,10.01,2.32,60881.0,149878883.0,11.86,25.5,22.75,22.83,23.18,1.4,4.12,91.98,2.24,3765829290.0,3765829290.0,0.0,0.0,-3.77,2.95
51,603115,海星股份,43.43,10.01,3.95,210105.0,859298573.0,13.75,43.43,38.0,38.5,39.48,1.59,8.69,53.55,5.09,10505300072.0,10505300072.0,0.0,0.0,132.37,132.12
52,600727,鲁北化工,7.8,10.01,0.71,299626.0,230458258.0,7.76,7.8,7.25,7.25,7.09,1.54,5.67,71.27,1.29,4122948453.0,4122948453.0,0.0,0.0,14.2,14.04
53,000695,滨海能源,14.29,10.01,1.3,298876.0,417703928.0,11.09,14.29,12.85,12.93,12.99,1.83,13.47,-50.24,29.32,3311738066.0,3169681534.0,0.0,0.0,5.07,12.43
54,000155,川能动力,16.16,10.01,1.47,1066397.0,1650010325.23,11.78,16.16,14.43,14.52,14.69,1.77,5.78,64.39,2.89,29834080407.0,29834080407.0,0.0,0.0,34.67,38.71
55,002082,万邦德,26.04,10.01,2.37,280775.0,699197351.55,12.67,26.04,23.04,23.25,23.67,0.96,5.07,-80.13,6.41,15928382992.0,14406706089.0,0.0,0.0,121.24,86.93
56,603272,联翔股份,32.32,10.01,2.94,100124.0,313853516.0,13.41,32.32,28.38,29.21,29.38,1.34,9.66,1144.8,6.0,3349224640.0,3349224640.0,0.0,0.0,73.48,60.72
57,002755,奥赛康,15.39,10.01,1.4,265028.0,396263777.28,10.94,15.39,13.86,13.94,13.99,3.01,2.86,47.97,4.46,14284387802.0,14284252755.0,0.0,0.0,-6.78,-5.76
58,600310,广西能源,6.6,10.0,0.6,424981.0,280487407.0,0.0,6.6,6.6,6.6,6.0,0.18,2.9,-45.86,3.52,9673690765.0,9673690765.0,0.0,0.0,74.14,73.23
59,002428,云南锗业,51.36,10.0,4.67,795091.0,3869850296.3,13.88,51.36,44.88,44.88,46.69,1.02,12.18,1386.26,23.05,33544243200.0,33539909700.0,0.0,0.0,68.23,61.76
60,603090,宏盛股份,65.44,10.0,5.95,61385.0,388366576.0,12.71,65.44,57.88,58.0,59.49,2.47,6.14,76.24,10.67,6544000000.0,6544000000.0,0.0,0.0,16.73,18.02
61,603026,石大胜华,93.85,10.0,8.53,320152.0,2843855578.0,12.72,93.85,83.0,84.02,85.32,1.41,13.76,-263.32,4.52,21838990164.0,21838990164.0,0.0,0.0,20.72,25.45
62,002432,九安医疗,68.64,10.0,6.24,492470.0,3233610784.07,12.08,68.64,61.1,61.72,62.4,1.06,11.23,15.06,1.44,31915938226.0,30092438856.0,0.0,0.0,68.69,71.43
63,002460,赣锋锂业,79.67,10.0,7.24,1312133.0,10074180745.0,11.29,79.67,71.49,71.49,72.43,1.82,10.83,4909.19,3.94,167043643167.0,96510625718.0,0.0,0.0,20.06,26.68
64,600955,维远股份,17.05,10.0,1.55,117906.0,192079347.0,10.97,17.05,15.35,15.42,15.5,1.83,2.14,-39.21,1.11,9377500000.0,9377500000.0,0.0,0.0,14.89,5.25
65,002192,融捷股份,78.0,10.0,7.09,421223.0,3145292964.85,7.45,78.0,72.72,73.33,70.91,1.52,16.26,72.65,5.74,20253105834.0,20211178884.0,0.0,0.0,48.06,50.72
66,002995,天地在线,23.65,10.0,2.15,117469.0,268975021.8,11.72,23.65,21.13,21.39,21.5,0.56,10.45,-70.96,4.72,4196798452.0,2658666969.0,0.0,0.0,46.62,43.16
67,002240,盛新锂能,42.23,10.0,3.84,557384.0,2257649023.52,10.45,42.23,38.22,38.5,38.39,1.08,6.11,-43.52,3.77,38652860215.0,38552135330.0,0.0,0.0,17.57,22.65
68,603248,锡华科技,29.04,10.0,2.64,155653.0,437473793.0,12.61,29.04,25.71,26.0,26.4,0.65,22.46,62.01,7.78,13358400000.0,2012730979.0,0.0,0.0,-21.11,32.18
69,603387,基蛋生物,9.9,10.0,0.9,432332.0,412072171.0,11.67,9.9,8.85,8.88,9.0,0.78,8.52,23.46,1.87,5020819818.0,5020819818.0,0.0,0.0,19.85,18.28
70,002756,永兴材料,81.21,10.0,7.38,227438.0,1789607417.8,9.91,81.21,73.89,73.89,73.83,0.85,5.85,61.77,3.5,43780436063.0,31568815356.0,0.0,0.0,60.68,49.7
71,002328,新朋股份,7.15,10.0,0.65,592424.0,414875060.89,12.77,7.15,6.32,6.37,6.5,1.11,10.38,29.21,1.66,5518155500.0,4081162056.0,0.0,0.0,7.2,8.17
72,002361,神剑股份,13.64,10.0,1.24,2681412.0,3538826350.21,13.15,13.64,12.01,12.02,12.4,3.35,33.14,320.88,5.86,12972116977.0,11036437502.0,0.0,0.0,37.92,-4.88
73,603002,宏昌电子,10.34,10.0,0.94,411229.0,404142411.0,12.98,10.34,9.12,9.18,9.4,1.17,3.63,358.74,3.4,11726371783.0,11726371783.0,0.0,0.0,42.42,39.92
74,603738,泰晶科技,26.19,10.0,2.38,417172.0,1046186195.0,12.26,26.19,23.27,23.27,23.81,0.76,10.81,216.42,5.79,10106393415.0,10106393415.0,0.0,0.0,71.85,66.71
75,605299,舒华体育,19.25,10.0,1.75,623183.0,1107000094.0,17.77,19.25,16.14,17.01,17.5,1.42,15.23,88.3,6.18,7877610568.0,7877610568.0,0.0,0.0,62.72,67.54
76,002263,大东南,4.07,10.0,0.37,3001245.0,1163390693.42,9.19,4.07,3.73,3.91,3.7,4.92,15.98,475.49,2.76,7644925607.0,7644864557.0,0.0,0.0,20.41,22.22
77,603127,昭衍新药,30.24,10.0,2.75,202060.0,589612135.0,11.71,30.24,27.02,27.24,27.49,1.35,3.21,210.58,2.79,22660290173.0,19061875143.0,0.0,0.0,-15.65,-13.62
78,002455,百川股份,14.41,10.0,1.31,762092.0,1056400164.4,9.77,14.41,13.13,13.38,13.1,0.65,14.68,1336.15,4.91,8563263847.0,7482099891.0,0.0,0.0,111.91,100.98
79,600996,贵广网络,10.02,9.99,0.91,161639.0,161962338.0,0.0,10.02,10.02,10.02,9.11,0.27,1.3,-11.49,5.34,12492934537.0,12492934537.0,0.0,0.0,-3.28,-0.2
80,002842,翔鹭钨业,33.13,9.99,3.01,360183.0,1147046969.65,11.09,33.13,29.79,29.79,30.12,1.37,13.42,157.02,9.7,10839222341.0,8894156297.0,0.0,0.0,119.69,129.11
81,603538,美诺华,39.18,9.99,3.56,212182.0,819590153.0,5.64,39.18,37.17,37.94,35.62,0.69,9.81,67.53,3.85,8637237426.0,8470554735.0,0.0,0.0,97.98,103.64
82,603132,金徽股份,16.73,9.99,1.52,116978.0,189701426.0,9.73,16.73,15.25,15.26,15.21,2.03,1.2,30.17,5.1,16361940000.0,16361940000.0,0.0,0.0,14.98,14.04
83,002773,康弘药业,27.65,9.98,2.51,83098.0,222643800.0,11.02,27.65,24.88,24.92,25.14,1.75,1.21,18.5,2.78,25474524378.0,18990960902.0,0.0,0.0,-10.31,-7.74
84,000546,金圆股份,6.61,9.98,0.6,590039.0,375389236.0,11.81,6.61,5.9,5.98,6.01,1.87,8.47,-37.85,1.27,5140255012.0,4605221412.0,0.0,0.0,-10.19,3.61
85,002038,双鹭药业,6.61,9.98,0.6,580711.0,371858855.81,11.81,6.61,5.9,5.98,6.01,1.71,6.82,36.1,1.19,6790783500.0,5631148030.0,0.0,0.0,-15.58,-10.31
86,600539,狮头股份,14.21,9.98,1.29,239580.0,329114427.0,11.53,14.21,12.72,13.17,12.92,1.15,10.42,-149.61,10.9,3268300000.0,3268300000.0,0.0,0.0,41.67,39.59
87,600268,国电南自,14.99,9.98,1.36,532479.0,784696539.0,9.68,14.99,13.67,13.67,13.63,1.52,5.27,31.72,4.08,15227902962.0,15152362281.0,0.0,0.0,41.42,43.03
88,003042,中农联合,17.97,9.98,1.63,127884.0,220680764.73,11.51,17.97,16.09,16.12,16.34,2.53,10.04,-42.87,1.95,2560365600.0,2288762438.0,0.0,0.0,14.24,11.89
89,000720,新能泰山,5.51,9.98,0.5,1337279.0,733060155.82,1.8,5.51,5.42,5.43,5.01,3.59,10.64,-1308.72,2.94,6923488956.0,6923488956.0,0.0,0.0,60.64,68.5
90,605388,均瑶健康,7.05,9.98,0.64,200513.0,138437117.0,10.76,7.05,6.36,6.43,6.41,1.93,3.34,-1340.35,2.47,4233412200.0,4233412200.0,0.0,0.0,-12.53,-5.24
91,001896,豫能控股,16.54,9.97,1.5,2264610.0,3550966454.82,12.77,16.54,14.62,14.98,15.04,0.99,14.84,65.78,7.32,25236423198.0,25236423198.0,0.0,0.0,206.3,218.08
92,002470,金正大,3.09,9.96,0.28,2774404.0,844169546.61,12.81,3.09,2.73,2.76,2.81,0.61,8.44,-258.35,4.94,10153825723.0,10152965699.0,0.0,0.0,73.6,73.6
93,600666,奥瑞德,6.08,9.95,0.55,10417572.0,6119766457.0,17.18,6.08,5.13,5.32,5.53,2.01,43.05,43.14,14.87,16728800156.0,14712097845.0,0.0,0.0,86.5,80.95
94,002042,华孚时尚,4.42,9.95,0.4,809358.0,349705188.84,12.19,4.42,3.93,3.93,4.02,1.27,4.76,107.76,1.3,7517011589.0,7517011589.0,0.0,0.0,7.8,4.0
95,000767,晋控电力,5.09,9.94,0.46,5041469.0,2530383016.11,5.83,5.09,4.82,4.9,4.63,2.04,17.31,37.25,2.5,15661635895.0,14823334359.0,0.0,0.0,78.6,81.79
96,002386,天原股份,6.31,9.93,0.57,773349.0,468550131.12,12.37,6.31,5.6,5.61,5.74,2.35,5.94,93.57,1.08,8213393031.0,8211862628.0,0.0,0.0,15.36,16.21
97,002526,山东矿机,3.66,9.91,0.33,1162592.0,413228318.14,11.41,3.66,3.28,3.3,3.33,2.98,6.56,44.62,2.02,6525025440.0,6482169043.0,0.0,0.0,3.98,1.67
98,600844,金煤科技,4.99,9.91,0.45,974667.0,470361317.0,10.79,4.99,4.5,4.54,4.54,0.68,11.85,-42.84,36.3,5072455958.0,4105425864.0,0.0,0.0,70.31,73.26
99,600488,津药药业,4.33,9.9,0.39,389815.0,166042451.0,10.41,4.33,3.92,3.94,3.94,3.87,3.57,50.99,1.56,4727869324.0,4727869324.0,0.0,0.0,3.1,5.87
100,002445,中南文化,4.44,9.9,0.4,4652710.0,2010229350.5,10.89,4.44,4.0,4.0,4.04,1.29,19.66,96.25,4.66,10552137438.0,10506731520.0,0.0,0.0,71.43,70.77
101,688485,九州一轨,28.73,9.87,2.58,68158.0,191750491.0,14.15,29.2,25.5,26.14,26.15,1.39,7.68,-308.13,3.28,4317890941.0,2550016708.0,0.1,-0.03,60.59,61.04
102,688353,华盛锂电,131.69,9.84,11.8,179655.0,2291079903.0,15.09,137.89,119.8,120.0,119.89,1.87,11.26,1583.06,5.97,21004555000.0,21004555000.0,-0.01,-0.3,25.92,15.82
103,920166,海圣医疗,28.44,9.72,2.52,29194.0,82622973.35,14.12,29.66,26.0,26.19,25.92,3.01,12.28,24.95,3.66,2141364716.0,675868267.0,0.14,0.32,125.0,125.0
104,300051,琏升科技,12.09,9.61,1.06,698110.0,818913766.87,13.51,12.25,10.76,10.92,11.03,0.97,18.99,-37.16,27.89,4497693872.0,4445203021.0,0.08,0.08,86.57,87.44
105,688605,先锋精科,61.48,9.49,5.33,66830.0,404964157.0,6.86,61.85,58.0,58.0,56.15,3.66,6.17,65.39,7.56,12442313547.0,6661464360.0,-0.03,-0.02,0.05,-4.33
106,300666,江丰电子,146.02,9.3,12.42,161925.0,2298871452.63,12.82,147.98,130.85,131.49,133.6,1.85,7.32,80.5,7.83,38742126132.0,32293361640.0,-0.16,-0.04,52.66,58.72
107,688520,神州细胞,41.46,9.22,3.5,63569.0,258483318.0,12.3,42.42,37.75,37.77,37.96,2.51,1.43,-33.37,133.74,18463618702.0,18463618702.0,0.1,0.05,-5.13,-4.27
108,603059,倍加洁,34.48,8.91,2.82,34805.0,116934991.0,10.87,34.76,31.32,31.66,31.66,2.53,3.46,33.71,3.29,3463471176.0,3463471176.0,0.12,-0.32,10.12,14.63
109,688205,德科立,205.57,8.84,16.69,154464.0,3024409043.0,17.6,209.53,176.28,180.86,188.88,1.06,9.76,444.71,14.02,32538715083.0,32538715083.0,-0.29,-0.12,30.11,49.53
110,688161,威高骨科,30.7,8.75,2.47,47582.0,142624517.0,10.77,31.02,27.98,28.01,28.23,2.27,1.19,45.71,2.96,12280000000.0,12280000000.0,-0.1,-0.1,10.19,9.96
111,688202,美迪西,60.3,8.75,4.85,54201.0,319665697.0,11.92,61.0,54.39,54.39,55.45,1.82,4.03,-52.26,4.12,8101436695.0,8101436695.0,-0.03,-0.12,5.62,6.91
112,002422,科伦药业,34.92,8.75,2.81,323498.0,1105354135.2,10.93,35.11,31.6,31.69,32.11,2.1,2.48,34.86,2.35,55804023750.0,45601486915.0,-0.23,-0.09,12.65,18.98
113,688177,百奥泰,22.29,8.73,1.79,43318.0,93917877.0,10.73,22.46,20.26,20.45,20.5,1.73,1.05,-27.43,24.77,9229843200.0,9229843200.0,0.13,0.32,-6.58,-3.67
114,002969,嘉美包装,24.99,8.65,1.99,732753.0,1781426024.69,8.61,25.28,23.3,23.3,23.0,1.02,6.71,525.75,10.36,27451407793.0,27296301160.0,0.0,0.0,240.0,97.39
115,300620,光库科技,194.47,8.59,15.39,278957.0,5254772523.12,15.45,199.99,172.33,175.0,179.08,1.02,11.29,274.28,22.33,48458140586.0,48054156970.0,0.24,0.05,20.41,32.25
116,688141,杰华特,52.46,8.55,4.13,207227.0,1079651761.0,15.73,54.4,46.8,47.9,48.33,1.8,4.6,-32.97,15.16,23623871608.0,23623871608.0,0.02,0.11,27.05,20.79
117,688192,迪哲医药-U,56.0,8.53,4.4,101532.0,561832664.0,15.45,58.25,50.28,51.51,51.6,1.83,2.2,-34.09,19.93,26019467152.0,25798169152.0,0.04,0.04,-6.57,-2.78
118,000893,亚钾国际,64.58,8.1,4.84,202046.0,1270092928.04,10.68,65.28,58.9,59.47,59.74,1.44,2.49,32.84,4.57,59675225656.0,52426694579.0,0.05,0.11,36.56,34.63
119,300813,泰林生物,30.16,8.1,2.26,122620.0,367612524.0,10.86,31.0,27.97,28.2,27.9,1.53,16.12,221.73,4.54,3655368445.0,2293700362.0,0.0,0.2,22.55,22.75
120,301086,鸿富瀚,128.28,8.09,9.6,38644.0,485918221.59,11.62,129.87,116.08,117.03,118.68,1.96,8.16,106.04,5.98,11545200000.0,6072558792.0,0.16,0.01,11.17,14.65
121,300561,*ST汇科,14.75,8.06,1.1,187938.0,270487214.09,10.92,15.0,13.51,13.51,13.65,1.47,7.8,2389.42,8.07,4839592631.0,3555599217.0,0.07,0.14,6.96,0.27
122,300723,一品红,32.47,8.05,2.42,167742.0,537806968.66,11.25,33.19,29.81,29.9,30.05,2.57,4.0,-80.83,8.38,14666464112.0,13611058972.0,0.0,0.09,-8.54,-3.22
123,301150,中一科技,56.93,8.01,4.22,225353.0,1231380995.66,13.22,57.88,50.91,52.18,52.71,1.61,10.12,257.35,3.73,13277981276.0,12671780218.0,1.55,1.28,41.34,35.58
124,600773,西藏城投,19.7,8.0,1.46,647225.0,1240275379.0,12.55,20.05,17.76,18.14,18.24,1.34,6.8,-124.97,3.97,18746261241.0,18746261241.0,0.31,0.2,57.6,59.0
125,301626,苏州天脉,257.0,7.95,18.92,34513.0,862654005.53,11.58,257.8,230.23,232.8,238.08,0.97,6.56,156.4,18.88,29729760000.0,13523082486.0,-0.07,-0.02,31.54,37.95
126,688266,泽璟制药-U,100.69,7.89,7.36,51581.0,509045639.0,10.56,101.99,92.13,92.55,93.33,1.37,1.95,-163.57,24.67,26653467248.0,26653467248.0,-0.01,-0.29,-0.17,8.62
127,300267,尔康制药,3.97,7.88,0.29,1046615.0,405832872.26,10.33,3.98,3.6,3.65,3.68,2.07,7.36,155.18,1.83,8188541334.0,5646895807.0,0.0,0.0,11.52,16.42
128,300236,上海新阳,76.52,7.87,5.58,133496.0,998808859.62,11.47,77.72,69.58,70.01,70.94,1.32,4.79,79.75,4.65,23979944881.0,21314596339.0,0.04,-0.04,12.13,20.01
129,301285,鸿日达,84.76,7.84,6.16,70065.0,586062559.48,12.39,86.3,76.56,78.0,78.6,1.84,8.9,-702.56,17.19,17517349200.0,6671443326.0,-0.05,-0.28,22.34,25.05
130,300456,赛微电子,46.39,7.83,3.37,704538.0,3198433493.38,12.23,47.33,42.07,42.16,43.02,2.12,11.79,23.05,5.04,33967367286.0,27715655770.0,-0.06,-0.09,-24.32,-17.1
131,300016,北陆药业,9.83,7.79,0.71,464563.0,449159016.86,11.4,9.99,8.95,9.02,9.12,1.66,8.26,93.94,2.5,5533043192.0,5525587383.0,0.0,0.0,21.96,23.8
132,600671,天目药业,22.5,7.66,1.6,55584.0,121964126.0,11.39,22.75,20.37,20.67,20.9,1.69,4.57,144.63,41.15,2740024913.0,2738711993.0,0.36,0.0,32.51,29.98
133,300834,星辉环材,24.58,7.57,1.73,32067.0,77327282.28,11.25,25.1,22.53,22.6,22.85,1.81,1.67,90.25,1.62,4761449637.0,4729850228.0,-0.08,0.24,13.12,6.04
134,688503,聚和材料,87.99,7.57,6.19,130058.0,1122367373.0,12.05,89.97,80.11,80.8,81.8,1.47,6.47,52.07,4.25,21296540248.0,17678933642.0,-0.01,-0.1,45.56,44.25
135,300131,英唐智控,12.16,7.52,0.85,1563058.0,1864526413.37,18.48,12.87,10.78,10.89,11.31,1.27,15.0,397.06,7.81,13801836938.0,12673972995.0,0.08,-0.16,-1.54,-17.05
136,000688,国城矿业,42.44,7.5,2.96,476133.0,1990882363.63,10.92,43.43,39.12,39.38,39.48,1.17,4.02,46.72,19.33,50294273443.0,50294090102.0,0.24,0.62,52.22,52.66
